id,sub_domain,name
1,abaza,Абаза
2,abakan,Абакан
3,abdulino,Абдулино
4,abinsk,Абинск
5,agidel,Агидель
6,agriz,Агрыз
7,adigeysk,Адыгейск
8,aznakayevo,Азнакаево
9,azov,Азов
10,ak-dovurak,Ак-Довурак
11,aksay,Аксай
12,alagir,Алагир
13,alapaevsk,Алапаевск
14,alatir,Алатырь
15,aldan,Алдан
16,aleysk,Алейск
17,aleksandrov,Александров
18,aleksandrovsk,Александровск
19,aleksandrovsk-sakhalinskiy,Александровск-Сахалинский
20,alekseevka,Алексеевка
21,aleksin,Алексин
22,alzamay,Алзамай
23,alupka,Алупка
24,alushta,Алушта
25,almetevsk,Альметьевск
26,amursk,Амурск
27,anadir,Анадырь
28,anapa,Анапа
29,angarsk,Ангарск
30,andreapol,Андреаполь
31,anzhero-sudzhensk,Анжеро-Судженск
32,aniva,Анива
33,apatity,Апатиты
34,aprelevka,Апрелевка
35,apsheronsk,Апшеронск
36,aramil,Арамиль
37,argun,Аргун
38,ardatov,Ардатов
39,ardon,Ардон
40,arzamas,Арзамас
41,arkadak,Аркадак
42,armavir,Армавир
43,armyansk,Армянск
44,arsenyev,Арсеньев
45,arsk,Арск
46,artem,Артём
47,artemovsk,Артёмовск
48,artemovskiy,Артёмовский
49,arkhangelsk,Архангельск
50,asbest,Асбест
51,asino,Асино
52,astrakhan,Астрахань
53,atkarsk,Аткарск
54,akhtubinsk,Ахтубинск
55,achinsk,Ачинск
56,asha,Аша
57,babaevo,Бабаево
58,babushkin,Бабушкин
59,bavly,Бавлы
60,bagrationovsk,Багратионовск
61,baykalsk,Байкальск
62,baymak,Баймак
63,bakal,Бакал
64,baksan,Баксан
65,balabanovo,Балабаново
66,balakovo,Балаково
67,balakhna,Балахна
68,balashikha,Балашиха
69,balashov,Балашов
70,baley,Балей
71,baltiysk,Балтийск
72,barabinsk,Барабинск
73,barnaul,Барнаул
74,barish,Барыш
75,bataysk,Батайск
76,bakhchisaray,Бахчисарай
77,bezhetsk,Бежецк
78,belaya-kalitva,Белая Калитва
79,belaya-kholunitsa,Белая Холуница
80,belgorod,Белгород
81,belebey,Белебей
82,belev,Белёв
83,belinskiy,Белинский
84,belovo,Белово
85,belogorsk-28,Белогорск
86,belogorsk-82,Белогорск
87,belozersk,Белозерск
88,belokurikha,Белокуриха
89,belomorsk,Беломорск
90,beloretsk,Белорецк
91,belorechensk,Белореченск
92,belousovo,Белоусово
93,beloyarskiy,Белоярский
94,beliy,Белый
95,berdsk,Бердск
96,berezniki,Березники
97,berezovskiy-42,Берёзовский
98,berezovskiy-96,Берёзовский
99,beslan,Беслан
100,biysk,Бийск
101,bikin,Бикин
102,bilibino,Билибино
103,birobidzhan,Биробиджан
104,birsk,Бирск
105,biryusinsk,Бирюсинск
106,biryuch,Бирюч
107,blagoveshensk-02,Благовещенск
108,blagoveshensk-28,Благовещенск
109,blagodarniy,Благодарный
110,bobrov,Бобров
111,bogdanovich,Богданович
112,bogoroditsk,Богородицк
113,bogorodsk,Богородск
114,bogotol,Боготол
115,boguchar,Богучар
116,bodaybo,Бодайбо
117,boksitogorsk,Бокситогорск
118,bolgar,Болгар
119,bologoye,Бологое
120,bolotnoye,Болотное
121,bolohovo,Болохово
122,bolhov,Болхов
123,bolshoy-kamen,Большой Камень
124,bor,Бор
125,borzya,Борзя
126,borisoglebsk,Борисоглебск
127,borovichi,Боровичи
128,borovsk,Боровск
129,borodino,Бородино
130,bratsk,Братск
131,bronnitsy,Бронницы
132,bryansk,Брянск
133,bugulma,Бугульма
134,buguruslan,Бугуруслан
135,budennovsk,Будённовск
136,buzuluk,Бузулук
137,buinsk,Буинск
138,buy,Буй
139,buynaksk,Буйнакск
140,buturlinovka,Бутурлиновка
141,valday,Валдай
142,valuyki,Валуйки
143,velizh,Велиж
144,velikiye-luki,Великие Луки
145,velikiy-novgorod,Великий Новгород
146,velikiy-ustyug,Великий Устюг
147,velsk,Вельск
148,venev,Венёв
149,vereshagino,Верещагино
150,vereya,Верея
151,verkhneuralsk,Верхнеуральск
152,verkhniy-tagil,Верхний Тагил
153,verkhniy-ufaley,Верхний Уфалей
154,verkhnya-pyshma,Верхняя Пышма
155,verkhnya-salda,Верхняя Салда
156,verkhnya-tura,Верхняя Тура
157,verkhoturye,Верхотурье
158,verkhoyansk,Верхоянск
159,vesyegonsk,Весьегонск
160,vetluga,Ветлуга
161,vidnoye,Видное
162,viluysk,Вилюйск
163,viluchinsk,Вилючинск
164,vikhorevka,Вихоревка
165,vichuga,Вичуга
166,vladivostok,Владивосток
167,vladikavkaz,Владикавказ
168,vladimir,Владимир
169,volgograd,Волгоград
170,volgodonsk,Волгодонск
171,volgorechensk,Волгореченск
172,volzhsk,Волжск
173,volzhskiy,Волжский
174,vologda,Вологда
175,volodarsk,Володарск
176,volokolamsk,Волоколамск
177,volosovo,Волосово
178,volkhov,Волхов
179,volchansk,Волчанск
180,volsk,Вольск
181,vorkuta,Воркута
182,voronezh,Воронеж
183,vorsma,Ворсма
184,voskresensk,Воскресенск
185,votkinsk,Воткинск
186,vsevolzhsk,Всеволожск
187,vuktyl,Вуктыл
188,vyborg,Выборг
189,vyksa,Выкса
190,vysokovsk,Высоковск
191,vysotsk,Высоцк
192,vytegra,Вытегра
193,vyshniy-volochek,Вышний Волочёк
194,vyazemskiy,Вяземский
195,vyazniki,Вязники
196,vyazma,Вязьма
197,vyatskiye-polany,Вятские Поляны
198,gavrilov-posad,Гаврилов Посад
199,gavrilov-yam,Гаврилов-Ям
200,gagarin,Гагарин
201,gadzhievo,Гаджиево
202,gay,Гай
203,galich,Галич
204,gatchina,Гатчина
205,gvardeysk,Гвардейск
206,gdov,Гдов
207,gelendzhik,Геленджик
